Real,Predicho
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
N/D_IN,MOTO_IN
OMNIBUS_IN,CAMIONP_IN
CAMIONL_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
CAMIONL_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_IN,CAMIONL_IN
OMNIBUS_IN,CAMIONP_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
OMNIBUS_IN,CAMIONP_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
OMNIBUS_IN,CAMIONP_IN
AUTO_OUT,AUTO_OUT
CAMIONL_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
OMNIBUS_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
OMNIBUS_IN,OMNIBUS_IN
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_OUT
OMNIBUS_IN,CAMIONP_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
OMNIBUS_IN,CAMIONL_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
MOTO_IN,MOTO_IN
MOTO_OUT,MOTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
N/D_IN,MOTO_IN
CAMIONP_IN,CAMIONP_IN
AUTO_OUT,AUTO_OUT
OMNIBUS_IN,OMNIBUS_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
N/D_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_OUT,CAMIONL_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
OMNIBUS_IN,CAMIONP_IN
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
CAMIONL_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
N/D_IN,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
N/D_IN,MOTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
OMNIBUS_OUT,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
OMNIBUS_IN,CAMIONP_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
CAMIONL_IN,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_OUT,AUTO_OUT
N/D_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
CAMIONL_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
N/D_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_OUT,AUTO_OUT
OMNIBUS_IN,OMNIBUS_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
CAMIONL_OUT,AUTO_IN
MOTO_OUT,MOTO_OUT
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
OMNIBUS_IN,CAMIONL_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
CAMIONL_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
N/D_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
N/D_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,OMNIBUS_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
AUTO_OUT,AUTO_OUT
OMNIBUS_IN,CAMIONP_IN
CAMIONP_OUT,CAMIONP_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
CAMIONL_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_OUT,AUTO_IN
CAMIONP_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_IN,AUTO_IN
OMNIBUS_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
CAMIONL_IN,CAMIONP_OUT
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
N/D_IN,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
N/D_OUT,MOTO_OUT
MOTO_OUT,MOTO_OUT
CAMIONL_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
CAMIONL_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
CAMIONL_IN,CAMIONL_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
AUTO_IN,AUTO_IN
CAMIONL_IN,CAMIONL_IN
AUTO_IN,AUTO_IN
MOTO_OUT,MOTO_OUT
CAMIONL_IN,AUTO_IN
AUTO_IN,AUTO_OUT
CAMIONP_IN,CAMIONP_IN
MOTO_IN,MOTO_IN
CAMIONL_OUT,AUTO_IN
OMNIBUS_IN,OMNIBUS_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_IN,CAMIONL_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
CAMIONL_IN,CAMIONL_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
MOTO_OUT,MOTO_OUT
AUTO_IN,AUTO_IN
OMNIBUS_IN,CAMIONP_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
OMNIBUS_OUT,OMNIBUS_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
CAMIONL_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
OMNIBUS_OUT,CAMIONL_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
CAMIONL_IN,CAMIONL_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
N/D_IN,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
MOTO_OUT,MOTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_IN,AUTO_IN
MOTO_IN,MOTO_IN
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
AUTO_OUT,AUTO_OUT
AUTO_OUT,AUTO_OUT
AUTO_IN,AUTO_IN
CAMIONL_OUT,CAMIONL_OUT